#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
22315321|2019-05-23T10:51:33.600000|43.8377|10.1703|3.4|BULLETIN-INGV||||ML|2.0|--|Costa Toscana settentrionale (Massa-Carrara, Lucca, Pisa)
22317861|2019-05-23T15:02:23.111000|-21.6492|169.721|19.5|SURVEY-INGV-A||||Mwp|6.0|--|New Caledonia [Sea]
22318291|2019-05-23T16:05:06.810000|42.8017|13.1155|10.1|BULLETIN-INGV||||ML|2.6|--|2 km E Norcia (PG)
22319941|2019-05-23T23:57:48.840000|42.954|13.1348|8.8|BULLETIN-INGV||||ML|2.4|--|1 km NW Ussita (MC)
22323001|2019-05-24T11:07:57.720000|39.5697|16.3573|11.5|BULLETIN-INGV||||ML|2.1|--|1 km W San Demetrio Corone (CS)
22323541|2019-05-24T13:24:18.190000|42.8522|13.226|7.6|BULLETIN-INGV||||ML|2.0|--|8 km SE Castelsantangelo sul Nera (MC)
22325401|2019-05-24T19:06:34.660000|38.8958|16.0137|36.2|BULLETIN-INGV||||ML|2.0|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
22325881|2019-05-24T21:29:02.610000|37.7507|15.0448|8.3|BULLETIN-INGV||||ML|2.2|--|7 km W Milo (CT)
22327061|2019-05-25T04:41:21.160000|43.397|12.3608|8.7|BULLETIN-INGV||||ML|2.0|--|4 km NE Montone (PG)
22327281|2019-05-25T05:18:05.590000|40.8267|14.2748|0.1|BULLETIN-INGV||||Md|2.0|--|Golfo di Napoli e Capri (Napoli)
22327461|2019-05-25T05:47:37.580000|41.9725|13.7963|20.6|BULLETIN-INGV||||ML|2.0|--|3 km S Anversa degli Abruzzi (AQ)
22327871|2019-05-25T06:54:50.990000|38.7462|15.6488|161.0|BULLETIN-INGV||||ML|2.1|--|Tirreno Meridionale (MARE)
22329241|2019-05-25T10:38:02.480000|44.5363|10.1188|19.7|BULLETIN-INGV||||ML|3.4|--|7 km W Tizzano Val Parma (PR)
22334111|2019-05-26T05:27:24.510000|38.1547|15.1385|7.2|BULLETIN-INGV||||ML|2.3|--|Costa Siciliana nord-orientale (Messina)
22334281|2019-05-26T06:03:56.600000|46.1028|10.1442|10.9|BULLETIN-INGV||||ML|2.2|--|6 km S Aprica (SO)
22334571|2019-05-26T07:41:15.724000|-5.75859|-75.2555|133.6|SURVEY-INGV-A||||Mwpd|8.2|--|Northern Peru [Land: Peru]
22338321|2019-05-26T23:31:57.290000|38.5167|16.14|20.4|BULLETIN-INGV||||Mw|3.6|--|1 km SE San Pietro di Caridà (RC)
22338431|2019-05-26T23:33:27.040000|38.4918|16.1485|9.8|BULLETIN-INGV||||ML|2.2|--|4 km SE San Pietro di Caridà (RC)
22340761|2019-05-27T11:27:15.000000|38.4932|16.1488|9.8|BULLETIN-INGV||||ML|2.9|--|4 km SE San Pietro di Caridà (RC)
22341021|2019-05-27T12:19:56.750000|38.8243|16.8108|29.9|BULLETIN-INGV||||ML|2.7|--|Costa Ionica Catanzarese (Catanzaro)
22341411|2019-05-27T13:38:09.430000|38.5402|14.7498|19.8|BULLETIN-INGV||||ML|2.8|--|Isole Eolie (Messina)
22342981|2019-05-28T01:49:58.130000|39.4277|16.0788|60.0|BULLETIN-INGV||||ML|2.3|--|4 km W San Benedetto Ullano (CS)
22343101|2019-05-28T02:35:11.570000|44.2298|11.0765|13.6|BULLETIN-INGV||||ML|2.0|--|7 km W Grizzana Morandi (BO)
22343771|2019-05-28T07:10:04.550000|41.4927|15.7112|6.4|BULLETIN-INGV||||ML|2.1|--|14 km E Foggia (FG)
22344041|2019-05-28T08:48:06.630000|46.3388|6.7633|10.1|BULLETIN-INGV||||ML|3.9|--|Confine Svizzera-Francia (SVIZZERA, FRANCIA)
22344901|2019-05-28T10:44:25.910000|38.4383|15.314|126.1|BULLETIN-INGV||||ML|2.8|--|Tirreno Meridionale (MARE)
22347421|2019-05-28T21:33:23.570000|38.3527|14.8042|121.5|BULLETIN-INGV||||ML|2.2|--|Isole Eolie (Messina)
